,,,,2021-09-23 21:40:48.801500
^IBEX,IBEX 35,"8.876,90","151,033M",2021-09-23 21:40:48.801500
^GSPC,S&P 500,"4.448,98","1,967B",2021-09-23 21:40:48.801500
^DJI,Dow Jones Industrial Average,"34.764,82","285,871M",2021-09-23 21:40:48.801500
^IXIC,Nasdaq,"15.052,24","3,77B",2021-09-23 21:40:48.801500
^FTSE,FTSE 100,"7.078,35",0,2021-09-23 21:40:48.801500
^FCHI,CAC 40,"6.701,98",0,2021-09-23 21:40:48.801500
^GDAXI,DAX PERFORMANCE-INDEX,"15.643,97",0,2021-09-23 21:40:48.801500
^STOXX50E,ESTX 50 PR.EUR,"4.194,92",0,2021-09-23 21:40:48.801500
^N225,NIKKEI 225,"30.211,15",0,2021-09-23 21:40:48.801500
^HSI,HANG SENG INDEX,"24.510,98",0,2021-09-23 21:40:48.801500
^BVSP,IBOVESPA,"114.064,36",0,2021-09-23 21:40:48.801500
^MXX,IPC MEXICO,"51.464,27","180,099M",2021-09-23 21:40:48.801500
^IPSA,S&P/CLX IPSA,"5.058,88",0,2021-09-23 21:40:48.801500
^BVSP,IBOVESPA,"114.064,36",0,2021-09-23 21:40:48.801500
^N100,EURONEXT 100,"1.318,42",0,2021-09-23 21:40:48.801500
^BFX,BEL 20,"4.172,31",0,2021-09-23 21:40:48.801500
^ATX,Austrian Traded Index in EUR,"3.685,62",0,2021-09-23 21:40:48.801500
^OMXC20,OMX Copenhagen 20,"1.827,08",0,2021-09-23 21:40:48.801500
^OSEAX,Oslo Bors All-Share Index_GI,"1.017,37","371,464M",2021-09-23 21:40:48.801500
FTSEMIB.MI,FTSE MIB Index,"26.081,13",0,2021-09-23 21:40:48.801500
^OMXSPI,OMX Stockholm_PI,"966,03",0,2021-09-23 21:40:48.801500
^SSMI,SMI PR,"11.938,62",0,2021-09-23 21:40:48.801500
^GSPC,S&P 500,"4.448,98","1,967B",2021-09-23 21:40:48.801500
^JKSE,Jakarta Composite Index,"6.142,71",0,2021-09-23 21:40:48.801500
^KS11,KOSPI Composite Index,"3.136,34",78.534,2021-09-23 21:40:48.801500
^TWII,TSEC weighted index,"17.078,22",0,2021-09-23 21:40:48.801500
^TA125.TA,TA-125,"1.866,28",0,2021-09-23 21:40:48.801500
INDC.MC,IBEX MEDIUM CAP.,"13.608,00","18,549M",2021-09-23 21:40:48.801500
INDS.MC,IBEX SMALL CAP.,"8.303,10","200,919M",2021-09-23 21:40:48.801500
INDD.MC,IBEX TOP DIVIDENDO.,"2.512,20","103,09M",2021-09-23 21:40:48.801500
^KLSE,FTSE Bursa Malaysia KLCI,"1.539,34",0,2021-09-23 21:40:48.801500
^NZ50,S&P/NZX 50 INDEX GROSS,"13.307,38",0,2021-09-23 21:40:48.801500
^CASE30,EGX 30 Price Return Index,"10.642,00","47,681M",2021-09-23 21:40:48.801500
^JN0U.JO,Top 40 USD Net TRI Index,"4.231,66",0,2021-09-23 21:40:48.801500
